id,value
id_0,0.00785284410391
id_1,0.00895743865766
id_2,0.0112154836323
id_3,0.012918903234
id_4,0.00507678068044
id_5,0.00876395883803
id_6,0.0157614140492
id_7,0.00744784122149
id_8,0.0100983883398
id_9,0.00693738604792
id_10,0.0130686092573
id_11,0.0122866755988
id_12,0.0126848582789
id_13,0.00756215715213
id_14,0.00809356396179
id_15,0.00748373345988
id_16,0.0132998530852
id_17,0.00783034549917
id_18,0.00625396216255
id_19,0.00523406146936
id_20,0.00749490563056
id_21,0.0105847135688
id_22,0.0153945064004
id_23,0.01029806269
id_24,0.0165284776851
id_25,0.00866157074654
id_26,0.0125802528262
id_27,0.00804691916447
id_28,0.0126720908155
id_29,0.00806625660248
id_30,0.00735430646093
id_31,0.00669274622992
id_32,0.00943210167187
id_33,0.00807236028247
id_34,0.00964319847664
id_35,0.0147243578653
id_36,0.0130641999815
id_37,0.0140943443896
id_38,0.00910887483427
id_39,0.0125847050556
id_40,0.0127002135209
id_41,0.011749090147
id_42,0.0110916890725
id_43,0.0108047141806
id_44,0.0116519188375
id_45,0.0138835511544
id_46,0.0122341633017
id_47,0.0110544387738
id_48,0.008643271979
id_49,0.010815094985
id_50,0.00940009262574
id_51,0.0102489860447
id_52,0.012986020003
id_53,0.00935635955075
id_54,0.0151219782933
id_55,0.0119731327801
id_56,0.0117736771795
id_57,0.00800783699897
id_58,0.0134834949872
id_59,0.015716490247
id_60,0.00847661083269
id_61,0.0150653307569
id_62,0.0136380159207
id_63,0.0145999108027
id_64,0.0119316790157
id_65,0.0105818120592
id_66,0.0167351143314
id_67,0.0144382899187
id_68,0.0113742805429
id_69,0.013280602684
id_70,0.0137406463971
id_71,0.0152247592707
id_72,0.0147790676911
id_73,0.0101796771368
id_74,0.0116465687398
id_75,0.0120699753834
id_76,0.0136415424529
id_77,0.00823700315133
id_78,0.0139702856761
id_79,0.0109137213775
id_80,0.00795446356477
id_81,0.0107572217412
id_82,0.00912815118154
id_83,0.0143239110977
id_84,0.0101480725365
id_85,0.00891589989819
id_86,0.010097444228
id_87,0.0111719873957
id_88,0.0110851926271
id_89,0.0107421688424
id_90,0.0111568873722
id_91,0.00852211433886
id_92,0.01190807948
id_93,0.00901967328198
id_94,0.0124557077197
id_95,0.0127309673145
id_96,0.0116074423778
id_97,0.00934981957782
id_98,0.00901478143189
id_99,0.0106183774339
id_100,0.00965611252197
id_101,0.0118191579366
id_102,0.0114404003722
id_103,0.00996119395561
id_104,0.00764710015255
id_105,0.0105540885281
id_106,0.0117195364957
id_107,0.0107437802545
id_108,0.0112487620983
id_109,0.00965518227095
id_110,0.00819619372468
id_111,0.00828975264372
id_112,0.0106724888936
id_113,0.0115530671995
id_114,0.00927243711382
id_115,0.0103966902649
id_116,0.01022422489
id_117,0.0112072558895
id_118,0.0158644175641
id_119,0.00889913969016
id_120,0.00956856270487
id_121,0.0101156690817
id_122,0.0091626275041
id_123,0.00957461395555
id_124,0.0111184637342
id_125,0.00874223309926
id_126,0.0118549395182
id_127,0.00802376398647
id_128,0.00794552737924
id_129,0.0100065557311
id_130,0.00950600719173
id_131,0.00996203640741
id_132,0.0123887382162
id_133,0.0105323339204
id_134,0.0106690233154
id_135,0.00849289655759
id_136,0.00914011478919
id_137,0.0100089501652
id_138,0.0106855990148
id_139,0.0107884790048
id_140,0.0111527212635
id_141,0.00628627842492
id_142,0.00800483186491
id_143,0.00942516233202
id_144,0.00935403661852
id_145,0.0074071160603
id_146,0.0115472051341
id_147,0.00968573147435
id_148,0.0128405698567
id_149,0.0134368516482
id_150,0.0114004813738
id_151,0.0152573272036
id_152,0.0117585172515
id_153,0.00767306381683
id_154,0.0125620790254
id_155,0.0127964254147
id_156,0.00960063054496
id_157,0.00892549595589
id_158,0.00905709110083
id_159,0.0108421951367
id_160,0.0147662074882
id_161,0.00811515838386
id_162,0.0108235210807
id_163,0.00800681402521
id_164,0.00823364613818
id_165,0.0118667040219
id_166,0.0114010210655
id_167,0.0111174340558
id_168,0.0171420828032
id_169,0.0140841183173
id_170,0.00932643741127
id_171,0.0119262358191
id_172,0.0118450344724
id_173,0.00787671413545
id_174,0.015343368805
id_175,0.0111797158271
id_176,0.00884500491046
id_177,0.0140266972783
id_178,0.0125310424308
id_179,0.013598975779
id_180,0.00880491835155
id_181,0.00917576922577
id_182,0.014490543107
id_183,0.0105599012079
id_184,0.00559468155793
id_185,0.00891941097745
id_186,0.0118531557686
id_187,0.00880808895592
id_188,0.00962883704888
id_189,0.00812681288926
id_190,0.00677325735489
id_191,0.0056452080706
id_192,0.00877666057854
id_193,0.0146204675102
id_194,0.0126111096803
id_195,0.00991703112776
id_196,0.0161977154246
id_197,0.0058927137688
id_198,0.0104243511839
id_199,0.0150089555325
id_200,0.0138461535161
id_201,0.0109392613606
id_202,0.0109309553876
id_203,0.0066425096721
id_204,0.0160561559021
id_205,0.00962854923057
id_206,0.00636892864117
id_207,0.00977897515611
id_208,0.0135625366304
id_209,0.00827115692142
id_210,0.00856989811142
id_211,0.0158444732061
id_212,0.00811696721197
id_213,0.0127676607369
id_214,0.0103305305222
id_215,0.0182380717685
id_216,0.0127907296297
id_217,0.0137020360329
id_218,0.0112252684569
id_219,0.00978836405641
id_220,0.00848104683032
id_221,0.0165569041942
id_222,0.0074837050279
id_223,0.0115518030562
id_224,0.00787230473881
id_225,0.00671678979505
id_226,0.00776406473076
id_227,0.00989762017143
id_228,0.00928639103032
id_229,0.00636131755533
id_230,0.00841167114488
id_231,0.00918788531188
id_232,0.00923743803791
id_233,0.00773203635637
id_234,0.00892854764423
id_235,0.0113029849634
id_236,0.00681704867666
id_237,0.00658468604226
id_238,0.00779727849613
id_239,0.0074987177232
